"Document","Motif","Probability","Overlap Score","Precursor Mass","Retention Time","Document Annotation"
"document_179","motif_144","0.658","0.450","224.0108","None","None"
"document_179","motif_79","0.337","0.298","224.0108","None","None"
"document_1790","motif_294","0.843","0.069","243.1004","None","None"
"document_1790","motif_371","0.053","0.917","243.1004","None","None"
"document_1791","motif_336","0.900","0.657","485.2354","None","None"
"document_1791","motif_31","0.052","0.324","485.2354","None","None"
"document_1792","motif_154","0.899","0.034","412.3768","None","None"
"document_1792","motif_234","0.051","0.237","412.3768","None","None"
"document_1793","motif_200","0.507","0.242","470.1335","None","None"
"document_1793","motif_242","0.387","0.203","470.1335","None","None"
"document_1794","motif_169","0.708","0.087","270.2777","None","None"
"document_1794","motif_184","0.126","0.400","270.2777","None","None"
"document_1794","motif_225","0.113","0.044","270.2777","None","None"
"document_1795","motif_198","0.708","0.812","372.1851","None","None"
"document_1795","motif_91","0.076","0.224","372.1851","None","None"
"document_1795","motif_202","0.061","0.858","372.1851","None","None"
"document_1796","motif_363","0.471","0.291","452.3348","None","None"
"document_1796","motif_202","0.195","0.899","452.3348","None","None"
"document_1796","motif_378","0.075","0.439","452.3348","None","None"
"document_1796","motif_335","0.054","0.310","452.3348","None","None"
"document_1797","motif_37","0.784","0.088","504.3344","None","None"
"document_1797","motif_337","0.130","0.769","504.3344","None","None"
"document_1798","motif_59","1.000","0.173","671.6420","None","None"
"document_1799","motif_1","0.819","0.011","504.2473","None","None"
"document_1799","motif_337","0.140","0.733","504.2473","None","None"
"document_18","motif_238","0.500","0.431","167.0121","None","None"
"document_18","motif_79","0.485","0.289","167.0121","None","None"
"document_180","motif_268","0.961","0.057","244.2624","None","None"
"document_1800","motif_336","0.848","0.664","502.2623","None","None"
"document_1800","motif_324","0.096","0.982","502.2623","None","None"
"document_1801","motif_10","0.941","0.771","790.6993","None","None"
"document_1802","motif_167","0.981","0.917","450.2092","None","None"
"document_1803","motif_198","0.850","0.819","592.3147","None","None"
"document_1803","motif_202","0.117","0.890","592.3147","None","None"
"document_1804","motif_217","0.924","0.011","306.2885","None","None"
"document_1805","motif_234","0.521","0.388","532.4183","None","None"
"document_1805","motif_187","0.195","0.451","532.4183","None","None"
"document_1805","motif_324","0.131","0.981","532.4183","None","None"
"document_1806","motif_329","0.562","0.525","980.7290","None","None"
"document_1806","motif_202","0.335","0.478","980.7290","None","None"
"document_1806","motif_230","0.062","0.761","980.7290","None","None"
"document_1807","motif_57","0.870","0.074","266.1012","None","None"
"document_1808","motif_329","0.922","0.623","760.5748","None","None"
"document_1809","motif_314","0.689","0.471","332.2779","None","None"
"document_1809","motif_110","0.085","0.395","332.2779","None","None"
"document_1809","motif_386","0.081","0.797","332.2779","None","None"
"document_181","motif_354","0.738","0.714","364.3405","None","None"
"document_181","motif_230","0.123","0.856","364.3405","None","None"
"document_181","motif_47","0.070","0.921","364.3405","None","None"
"document_181","motif_202","0.068","0.157","364.3405","None","None"
"document_1810","motif_396","1.000","0.573","848.6265","None","None"
"document_1811","motif_6","1.000","0.267","660.1476","None","None"
"document_1812","motif_325","0.487","0.454","508.2150","None","None"
"document_1812","motif_42","0.208","0.278","508.2150","None","None"
"document_1812","motif_377","0.101","0.294","508.2150","None","None"
"document_1812","motif_95","0.100","0.313","508.2150","None","None"
"document_1813","motif_223","0.979","0.616","608.5704","None","None"
