Document	Motif	Probability	Overlap Score	Precursor Mass	Retention Time	Document Annotation	Motif_consensus	Motif_2	Proba_2	Overl_2	Motif_3	Proba_3	Overl_3	Motif_4	Proba_4	Overl_4	Motif_5	Proba_5	Overl_5	Motif_6	Proba_6	Overl_6	Motif_7	Proba_7	Overl_7	Motif_8	Proba_8	Overl_8	Motif_9	Proba_9	Overl_9
1923	M348	0.579	0.067	332.3142	None	None	M348,M184,M169,M23	M184	0.11699999999999999	0.4	M169	0.113	0.08800000000000001	M23	0.11199999999999999	0.158															
1924	M30	0.777	0.092	268.2621	None	None	M30,M225,M353	M225	0.109	0.036000000000000004	M353	0.07400000000000001	0.374																		
1925	M82	0.461	0.069	414.283	None	None	M82,M284,M373	M284	0.337	0.41700000000000004	M373	0.064	0.061																		
1926	M284	0.47200000000000003	0.38	348.3247	None	None	M284,M195	M195	0.469	0.258																					
1927	M297	0.841	0.071	286.3089	None	None	M297,M225	M225	0.107	0.047																					
1928	M198	0.868	0.816	636.3408	None	None	M198,M202	M202	0.12300000000000001	0.887																					
1929	M198	0.397	0.773	526.2821	None	None	M198,M384,M202,M316,M160	M384	0.1	0.272	M202	0.095	0.909	M316	0.085	0.083	M160	0.067	0.38												
193	M202	0.397	0.7140000000000001	363.3088	None	None	M202,M354,M334,M230,M353	M354	0.278	0.441	M334	0.10300000000000001	0.374	M230	0.102	0.83	M353	0.081	0.612												
1930	M260	0.6609999999999999	0.026000000000000002	377.1415	None	None	M260,M364,M397	M364	0.175	0.052000000000000005	M397	0.16399999999999998	0.021																		
1931	M373	0.32299999999999995	0.33799999999999997	358.2208	None	None	M373,M219,M302,M102,M324,M305	M219	0.21100000000000002	0.93	M302	0.102	0.14	M102	0.083	0.129	M324	0.073	0.98	M305	0.06	0.784									
1932	M198	0.317	0.8009999999999999	482.2568	None	None	M198,M316,M91,M12,M202	M316	0.179	0.091	M91	0.09699999999999999	0.14300000000000002	M12	0.07400000000000001	0.223	M202	0.064	0.9												
1933	M250	0.693	0.133	310.1993	None	None	M250,M342	M342	0.06	0.25																					
1934	M250	0.873	0.045	754.5	None	None	M250,M180,M259	M180	0.07	0.35700000000000004	M259	0.055999999999999994	0.299																		
1935	M25	0.552	0.231	392.2046	None	None	M25,M219,M237,M324	M219	0.163	0.8009999999999999	M237	0.134	0.698	M324	0.105	0.981															
1936	M33	0.354	0.435	178.1219	None	None	M33,M308,M276	M308	0.34600000000000003	0.408	M276	0.295	0.068																		
1937	M255	0.41700000000000004	0.363	468.351	None	None	M255,M202,M170,M230,M71	M202	0.27699999999999997	0.5760000000000001	M170	0.135	0.392	M230	0.094	0.762	M71	0.06	0.831												
1938	M238	0.55	0.595	208.1323	None	None	M238,M33,M310	M33	0.225	0.435	M310	0.22399999999999998	0.26																		
1939	M365	0.816	0.033	421.1668	None	None	M365,M364	M364	0.18100000000000002	0.051																					
